id,label
1,0.95
2,0.95
3,0.95
4,0.95
5,0.05
6,0.05
7,0.05
8,0.05
9,0.05
10,0.05
11,0.05
12,0.95
13,0.05
14,0.05
15,0.05
16,0.05
17,0.95
18,0.95
19,0.05
20,0.05
21,0.95
22,0.05
23,0.95
24,0.95
25,0.05
26,0.95
27,0.95
28,0.05
29,0.05
30,0.95
31,0.95
32,0.05
33,0.95
34,0.05
35,0.05
36,0.05
37,0.05
38,0.05
39,0.95
40,0.05
41,0.95
42,0.95
43,0.95
44,0.95
45,0.05
46,0.95
47,0.05
48,0.95
49,0.95
50,0.05
51,0.05
52,0.05
53,0.05
54,0.05
55,0.05
56,0.95
57,0.95
58,0.05
59,0.95
60,0.05
61,0.05
62,0.95
63,0.05
64,0.05
65,0.95
66,0.95
67,0.95
68,0.05
69,0.95
70,0.95
71,0.95
72,0.95
73,0.95
74,0.95
75,0.05
76,0.95
77,0.95
78,0.95
79,0.95
80,0.05
81,0.05
82,0.05
83,0.95
84,0.05
85,0.95
86,0.95
87,0.95
88,0.95
89,0.05
90,0.05
91,0.05
92,0.05
93,0.05
94,0.95
95,0.95
96,0.05
97,0.95
98,0.95
99,0.05
100,0.05
101,0.05
102,0.95
103,0.05
104,0.05
105,0.95
106,0.95
107,0.05
108,0.05
109,0.95
110,0.95
111,0.95
112,0.95
113,0.95
114,0.05
115,0.05
116,0.05
117,0.05
118,0.95
119,0.95
120,0.05
121,0.05
122,0.05
123,0.05
124,0.05
125,0.05
126,0.95
127,0.95
128,0.05
129,0.05
130,0.95
131,0.95
132,0.95
133,0.05
134,0.05
135,0.05
136,0.05
137,0.95
138,0.95
139,0.05
140,0.05
141,0.05
142,0.95
143,0.95
144,0.05
145,0.05
146,0.95
147,0.95
148,0.05
149,0.05
150,0.05
151,0.95
152,0.05
153,0.05
154,0.05
155,0.95
156,0.05
157,0.05
158,0.95
159,0.95
160,0.95
161,0.05
162,0.05
163,0.05
164,0.95
165,0.05
166,0.05
167,0.95
168,0.05
169,0.05
170,0.05
171,0.05
172,0.95
173,0.95
174,0.05
175,0.95
176,0.95
177,0.95
178,0.95
179,0.95
180,0.05
181,0.95
182,0.95
183,0.05
184,0.05
185,0.05
186,0.05
187,0.05
188,0.05
189,0.05
190,0.95
191,0.05
192,0.05
193,0.05
194,0.05
195,0.95
196,0.95
197,0.95
198,0.05
199,0.95
200,0.95
